"id","tipo_incidente","canal_origem","volume_titulares","severidade_reputacional","ilr","resultado_final"
1069,"Ausencia_Termos","App_Mobile",8615,2,24.6,"Baixo_Risco"
1070,"Vazamento_API","App_Mobile",23498,6,69.7,"Medio_Risco"
1071,"Ausencia_Termos","E-commerce",46328,6,61,"Medio_Risco"
1072,"Falha_Cookies","E-commerce",5876,8,56.1,"Alto_Risco"
1073,"Vazamento_API","E-commerce",10012,6,62.4,"Medio_Risco"
1074,"Vazamento_API","Portal_Cliente",29026,10,88.7,"Alto_Risco"
1075,"Vazamento_API","App_Mobile",4445,3,47.4,"Baixo_Risco"
1076,"Falha_Cookies","Portal_Cliente",10000,2,34.4,"Baixo_Risco"
1077,"Falha_Cookies","Portal_Cliente",47663,2,54.7,"Medio_Risco"
1078,"Vazamento_API","E-commerce",24856,7,74.4,"Alto_Risco"
1079,"Vazamento_API","Portal_Cliente",1698,4,49.9,"Medio_Risco"
1080,"Vazamento_API","Portal_Cliente",666,4,49.3,"Medio_Risco"
1081,"Falha_Cookies","E-commerce",30204,9,73.3,"Alto_Risco"
1082,"Falha_Cookies","E-commerce",27272,3,47.7,"Medio_Risco"
1083,"Vazamento_API","Portal_Cliente",4767,6,59.5,"Medio_Risco"
1084,"Falha_Cookies","E-commerce",9804,2,34.3,"Baixo_Risco"
1085,"Vazamento_API","App_Mobile",36980,2,61,"Alto_Risco"
1086,"Falha_Cookies","E-commerce",34862,9,75.8,"Alto_Risco"
1087,"Vazamento_API","Portal_Cliente",45118,2,65.4,"Medio_Risco"
1088,"Vazamento_API","App_Mobile",42982,7,84.2,"Alto_Risco"
1089,"Vazamento_API","Portal_Cliente",6469,3,48.4,"Medio_Risco"
1090,"Falha_Cookies","Portal_Cliente",32727,1,42.7,"Baixo_Risco"
1091,"Ausencia_Termos","Portal_Cliente",21093,2,31.4,"Baixo_Risco"
1092,"Ausencia_Termos","App_Mobile",2311,9,49.2,"Medio_Risco"
1093,"Falha_Cookies","E-commerce",5376,5,43.9,"Baixo_Risco"
1094,"Falha_Cookies","App_Mobile",12525,2,35.7,"Baixo_Risco"
1095,"Ausencia_Termos","E-commerce",44932,4,52.3,"Medio_Risco"
1096,"Vazamento_API","E-commerce",39596,4,70.4,"Medio_Risco"
1097,"Falha_Cookies","App_Mobile",3689,6,46.9,"Medio_Risco"
1098,"Vazamento_API","Portal_Cliente",38959,2,62,"Medio_Risco"
1099,"Ausencia_Termos","E-commerce",45304,6,60.5,"Medio_Risco"
1100,"Vazamento_API","App_Mobile",1356,2,41.7,"Medio_Risco"
1101,"Vazamento_API","App_Mobile",32687,7,78.6,"Alto_Risco"
1102,"Falha_Cookies","Portal_Cliente",2707,8,54.4,"Baixo_Risco"
1103,"Ausencia_Termos","Portal_Cliente",18252,9,57.8,"Medio_Risco"
1104,"Vazamento_API","App_Mobile",7651,10,77.1,"Alto_Risco"
1105,"Vazamento_API","App_Mobile",26882,5,67.5,"Medio_Risco"
1106,"Ausencia_Termos","Portal_Cliente",28772,6,51.5,"Medio_Risco"
1107,"Vazamento_API","E-commerce",18351,7,70.9,"Medio_Risco"
1108,"Vazamento_API","App_Mobile",7319,5,56.9,"Medio_Risco"
1109,"Ausencia_Termos","App_Mobile",45471,3,48.5,"Medio_Risco"
1110,"Falha_Cookies","Portal_Cliente",35103,8,71.9,"Medio_Risco"
1111,"Vazamento_API","E-commerce",11626,3,51.2,"Medio_Risco"
1112,"Vazamento_API","Portal_Cliente",17599,5,62.5,"Medio_Risco"
1113,"Falha_Cookies","App_Mobile",1449,9,57.7,"Medio_Risco"
1114,"Vazamento_API","App_Mobile",45181,5,77.4,"Alto_Risco"
1115,"Falha_Cookies","Portal_Cliente",5818,7,52.1,"Medio_Risco"
1116,"Ausencia_Termos","App_Mobile",49682,10,78.8,"Alto_Risco"
1117,"Vazamento_API","Portal_Cliente",19857,1,47.7,"Medio_Risco"
1118,"Ausencia_Termos","App_Mobile",26093,6,50.1,"Alto_Risco"
1119,"Falha_Cookies","E-commerce",17555,2,38.4,"Baixo_Risco"
1120,"Vazamento_API","E-commerce",28750,4,64.5,"Medio_Risco"
1121,"Falha_Cookies","App_Mobile",23896,10,73.9,"Alto_Risco"
1122,"Vazamento_API","Portal_Cliente",8794,5,57.7,"Medio_Risco"
1123,"Ausencia_Termos","E-commerce",34873,2,38.8,"Baixo_Risco"
1124,"Ausencia_Termos","Portal_Cliente",43557,10,75.5,"Alto_Risco"
1125,"Falha_Cookies","E-commerce",47891,7,74.9,"Alto_Risco"
1126,"Vazamento_API","E-commerce",16632,4,57.9,"Alto_Risco"
1127,"Ausencia_Termos","App_Mobile",17934,9,57.6,"Medio_Risco"
1128,"Vazamento_API","E-commerce",37543,4,69.3,"Medio_Risco"
1129,"Falha_Cookies","Portal_Cliente",22610,9,69.2,"Medio_Risco"
1130,"Falha_Cookies","E-commerce",12497,2,35.7,"Medio_Risco"
1131,"Vazamento_API","Portal_Cliente",47516,6,82.7,"Alto_Risco"
1132,"Falha_Cookies","App_Mobile",2449,3,34.3,"Baixo_Risco"
1133,"Falha_Cookies","E-commerce",29369,8,68.8,"Medio_Risco"
1134,"Vazamento_API","Portal_Cliente",16608,7,69.9,"Medio_Risco"
1135,"Vazamento_API","E-commerce",48625,6,83.3,"Alto_Risco"
1136,"Vazamento_API","E-commerce",44776,8,89.2,"Alto_Risco"
1137,"Falha_Cookies","App_Mobile",7086,7,52.8,"Medio_Risco"
1138,"Falha_Cookies","Portal_Cliente",22819,9,69.3,"Medio_Risco"
1139,"Vazamento_API","App_Mobile",982,5,53.5,"Medio_Risco"
1140,"Vazamento_API","E-commerce",19281,8,75.4,"Alto_Risco"
1141,"Vazamento_API","E-commerce",4286,7,63.3,"Medio_Risco"
1142,"Ausencia_Termos","E-commerce",19619,3,34.6,"Baixo_Risco"
1143,"Ausencia_Termos","Portal_Cliente",43496,5,55.5,"Medio_Risco"
1144,"Vazamento_API","App_Mobile",11207,8,71,"Baixo_Risco"
1145,"Vazamento_API","Portal_Cliente",27428,3,59.8,"Medio_Risco"
1146,"Vazamento_API","E-commerce",46949,7,86.3,"Alto_Risco"
1147,"Falha_Cookies","E-commerce",24795,2,42.4,"Baixo_Risco"
1148,"Falha_Cookies","E-commerce",659,7,49.3,"Medio_Risco"
1149,"Vazamento_API","Portal_Cliente",18287,5,62.8,"Medio_Risco"
1150,"Falha_Cookies","App_Mobile",9782,4,42.2,"Baixo_Risco"
1151,"Falha_Cookies","E-commerce",20370,9,68,"Medio_Risco"
1152,"Vazamento_API","App_Mobile",6554,2,44.5,"Baixo_Risco"
1153,"Vazamento_API","Portal_Cliente",5740,2,44.1,"Baixo_Risco"
1154,"Falha_Cookies","App_Mobile",16251,1,33.7,"Baixo_Risco"
1155,"Falha_Cookies","App_Mobile",34259,2,47.5,"Medio_Risco"
1156,"Falha_Cookies","E-commerce",38893,5,62,"Medio_Risco"
1157,"Vazamento_API","App_Mobile",40230,4,70.7,"Medio_Risco"
1158,"Falha_Cookies","App_Mobile",42066,8,75.7,"Alto_Risco"
1159,"Vazamento_API","Portal_Cliente",12957,5,60,"Medio_Risco"
1160,"Falha_Cookies","Portal_Cliente",9494,3,38.1,"Baixo_Risco"
1161,"Falha_Cookies","Portal_Cliente",16937,8,62.1,"Medio_Risco"
1162,"Vazamento_API","App_Mobile",25776,1,50.9,"Medio_Risco"
1163,"Falha_Cookies","E-commerce",29987,5,57.2,"Medio_Risco"
1164,"Vazamento_API","Portal_Cliente",47271,4,74.5,"Alto_Risco"
1165,"Ausencia_Termos","App_Mobile",47537,5,57.7,"Medio_Risco"
1166,"Vazamento_API","Portal_Cliente",12562,7,67.7,"Medio_Risco"
1167,"Vazamento_API","Portal_Cliente",3005,10,74.6,"Alto_Risco"
1168,"Ausencia_Termos","Portal_Cliente",28187,1,31.2,"Baixo_Risco"
1169,"Ausencia_Termos","App_Mobile",12581,2,26.8,"Baixo_Risco"
1170,"Vazamento_API","E-commerce",31609,10,90,"Alto_Risco"
1171,"Falha_Cookies","Portal_Cliente",39955,7,70.6,"Medio_Risco"
1172,"Vazamento_API","Portal_Cliente",16256,7,69.7,"Medio_Risco"
1173,"Ausencia_Termos","E-commerce",39108,9,69.1,"Medio_Risco"
1174,"Falha_Cookies","App_Mobile",40436,4,58.8,"Medio_Risco"
1175,"Vazamento_API","E-commerce",45481,8,89.6,"Alto_Risco"
1176,"Ausencia_Termos","E-commerce",48628,9,74.3,"Medio_Risco"
1177,"Vazamento_API","App_Mobile",12514,8,71.7,"Medio_Risco"
1178,"Vazamento_API","App_Mobile",11357,7,67.1,"Medio_Risco"
1179,"Ausencia_Termos","Portal_Cliente",29488,1,31.9,"Baixo_Risco"
1180,"Vazamento_API","Portal_Cliente",43492,5,76.5,"Alto_Risco"
1181,"Falha_Cookies","E-commerce",3579,3,34.9,"Baixo_Risco"
1182,"Vazamento_API","App_Mobile",42557,8,88,"Alto_Risco"
1183,"Ausencia_Termos","App_Mobile",35195,1,35,"Baixo_Risco"
1184,"Vazamento_API","E-commerce",19979,4,59.8,"Medio_Risco"
1185,"Falha_Cookies","Portal_Cliente",5211,8,55.8,"Medio_Risco"
1186,"Falha_Cookies","E-commerce",25856,10,74.9,"Alto_Risco"
1187,"Ausencia_Termos","Portal_Cliente",40808,6,58,"Medio_Risco"
1188,"Vazamento_API","E-commerce",23598,9,81.7,"Alto_Risco"
1189,"Ausencia_Termos","E-commerce",26652,9,62.4,"Medio_Risco"
1190,"Falha_Cookies","E-commerce",25789,9,70.9,"Medio_Risco"
1191,"Vazamento_API","Portal_Cliente",13401,3,52.2,"Medio_Risco"
1192,"Vazamento_API","E-commerce",2647,4,50.4,"Medio_Risco"
1193,"Falha_Cookies","Portal_Cliente",5578,6,48,"Medio_Risco"
1194,"Ausencia_Termos","E-commerce",25401,7,53.7,"Medio_Risco"
1195,"Falha_Cookies","Portal_Cliente",49204,3,59.6,"Medio_Risco"
1196,"Vazamento_API","App_Mobile",25915,2,55,"Medio_Risco"
1197,"Ausencia_Termos","E-commerce",29936,4,44.1,"Baixo_Risco"
1198,"Vazamento_API","E-commerce",3357,7,62.8,"Medio_Risco"
1199,"Vazamento_API","Portal_Cliente",25087,7,74.5,"Alto_Risco"
1200,"Falha_Cookies","Portal_Cliente",4566,4,39.4,"Baixo_Risco"
1201,"Vazamento_API","App_Mobile",9023,8,69.8,"Alto_Risco"
1202,"Vazamento_API","Portal_Cliente",21197,8,76.4,"Alto_Risco"
1203,"Vazamento_API","App_Mobile",46768,2,66.3,"Medio_Risco"
1204,"Falha_Cookies","Portal_Cliente",14574,6,52.8,"Medio_Risco"
1205,"Vazamento_API","Portal_Cliente",20959,7,72.3,"Alto_Risco"
1206,"Ausencia_Termos","E-commerce",12113,7,46.5,"Medio_Risco"
1207,"Falha_Cookies","E-commerce",19888,4,47.7,"Medio_Risco"
1208,"Falha_Cookies","App_Mobile",45124,8,77.4,"Medio_Risco"
1209,"Ausencia_Termos","App_Mobile",48183,4,54,"Alto_Risco"
1210,"Falha_Cookies","E-commerce",42222,8,75.8,"Alto_Risco"
1211,"Vazamento_API","App_Mobile",18210,8,74.8,"Alto_Risco"
1212,"Vazamento_API","Portal_Cliente",1465,8,65.7,"Medio_Risco"
1213,"Falha_Cookies","Portal_Cliente",3765,1,27,"Baixo_Risco"
1214,"Vazamento_API","Portal_Cliente",21002,6,68.3,"Medio_Risco"
1215,"Vazamento_API","Portal_Cliente",7118,8,68.8,"Medio_Risco"
1216,"Ausencia_Termos","E-commerce",39583,5,53.4,"Medio_Risco"
1217,"Vazamento_API","E-commerce",14508,4,56.8,"Medio_Risco"
1218,"Falha_Cookies","E-commerce",25569,2,42.8,"Baixo_Risco"
1219,"Vazamento_API","App_Mobile",22943,6,69.4,"Medio_Risco"
1220,"Falha_Cookies","Portal_Cliente",41508,5,63.4,"Medio_Risco"
1221,"Vazamento_API","Portal_Cliente",5223,9,71.8,"Medio_Risco"
1222,"Vazamento_API","E-commerce",49676,9,95.8,"Alto_Risco"
1223,"Ausencia_Termos","App_Mobile",35974,3,43.4,"Baixo_Risco"
1224,"Ausencia_Termos","App_Mobile",31601,2,37,"Baixo_Risco"
1225,"Vazamento_API","App_Mobile",14071,7,68.6,"Medio_Risco"
1226,"Ausencia_Termos","E-commerce",20017,1,26.8,"Baixo_Risco"
1227,"Vazamento_API","App_Mobile",6245,3,48.3,"Alto_Risco"
1228,"Vazamento_API","E-commerce",42712,2,64.1,"Medio_Risco"
1229,"Ausencia_Termos","App_Mobile",1128,9,48.6,"Medio_Risco"
1230,"Ausencia_Termos","App_Mobile",10258,7,45.5,"Alto_Risco"
1231,"Falha_Cookies","E-commerce",7924,8,57.2,"Medio_Risco"
1232,"Vazamento_API","E-commerce",8704,4,53.7,"Medio_Risco"
1233,"Falha_Cookies","Portal_Cliente",3668,5,42.9,"Baixo_Risco"
1234,"Falha_Cookies","E-commerce",8177,9,61.4,"Medio_Risco"
1235,"Ausencia_Termos","Portal_Cliente",31161,10,68.8,"Medio_Risco"
1236,"Ausencia_Termos","Portal_Cliente",29574,8,59.9,"Medio_Risco"
1237,"Vazamento_API","Portal_Cliente",10568,4,54.7,"Medio_Risco"
1238,"Ausencia_Termos","App_Mobile",35304,8,63,"Medio_Risco"
1239,"Ausencia_Termos","Portal_Cliente",41792,1,38.6,"Baixo_Risco"
1240,"Vazamento_API","App_Mobile",28219,8,80.2,"Alto_Risco"
1241,"Falha_Cookies","Portal_Cliente",5130,10,63.7,"Medio_Risco"
1242,"Ausencia_Termos","App_Mobile",1264,3,24.6,"Baixo_Risco"
1243,"Ausencia_Termos","Portal_Cliente",49228,2,46.6,"Medio_Risco"
1244,"Ausencia_Termos","E-commerce",25406,3,37.7,"Baixo_Risco"
1245,"Vazamento_API","App_Mobile",3442,3,46.8,"Medio_Risco"
1246,"Ausencia_Termos","E-commerce",42784,7,63.1,"Medio_Risco"
1247,"Ausencia_Termos","E-commerce",12429,5,38.7,"Baixo_Risco"
1248,"Falha_Cookies","E-commerce",49542,6,71.8,"Medio_Risco"
1249,"Ausencia_Termos","E-commerce",27455,9,62.8,"Medio_Risco"
1250,"Falha_Cookies","App_Mobile",1896,2,30,"Baixo_Risco"
1251,"Vazamento_API","E-commerce",23458,4,61.6,"Medio_Risco"
1252,"Falha_Cookies","App_Mobile",7706,4,41.1,"Baixo_Risco"
1253,"Ausencia_Termos","E-commerce",11838,5,38.4,"Baixo_Risco"
1254,"Vazamento_API","E-commerce",30450,2,57.4,"Baixo_Risco"
1255,"Falha_Cookies","Portal_Cliente",34426,7,67.6,"Medio_Risco"
1256,"Falha_Cookies","App_Mobile",8216,9,61.4,"Medio_Risco"
1257,"Vazamento_API","E-commerce",28953,8,80.6,"Alto_Risco"
1258,"Vazamento_API","App_Mobile",29938,7,77.1,"Alto_Risco"
1259,"Vazamento_API","App_Mobile",39732,7,82.4,"Alto_Risco"
1260,"Falha_Cookies","E-commerce",44577,2,53.1,"Medio_Risco"
1261,"Vazamento_API","App_Mobile",37707,9,89.3,"Alto_Risco"
1262,"Falha_Cookies","Portal_Cliente",6829,10,64.6,"Medio_Risco"
1263,"Falha_Cookies","App_Mobile",280,9,57.1,"Medio_Risco"
1264,"Vazamento_API","App_Mobile",11266,2,47,"Medio_Risco"
1265,"Vazamento_API","E-commerce",39877,4,70.5,"Medio_Risco"
1266,"Vazamento_API","App_Mobile",41236,6,79.3,"Alto_Risco"
1267,"Ausencia_Termos","App_Mobile",21028,1,27.3,"Baixo_Risco"
1268,"Falha_Cookies","E-commerce",18486,4,46.9,"Medio_Risco"
1269,"Vazamento_API","App_Mobile",20107,10,83.8,"Alto_Risco"
1270,"Falha_Cookies","App_Mobile",19048,2,39.3,"Baixo_Risco"
1271,"Falha_Cookies","E-commerce",25381,10,74.7,"Baixo_Risco"
1272,"Vazamento_API","App_Mobile",46565,4,74.1,"Alto_Risco"
1273,"Vazamento_API","App_Mobile",4161,6,59.2,"Medio_Risco"
1274,"Vazamento_API","App_Mobile",38538,4,69.8,"Medio_Risco"
1275,"Ausencia_Termos","E-commerce",9011,5,36.8,"Baixo_Risco"
1276,"Vazamento_API","Portal_Cliente",32741,4,66.7,"Medio_Risco"
1277,"Falha_Cookies","E-commerce",43462,9,80.5,"Baixo_Risco"
1278,"Vazamento_API","App_Mobile",17765,4,58.6,"Baixo_Risco"
1279,"Ausencia_Termos","E-commerce",5854,1,19.1,"Baixo_Risco"
1280,"Falha_Cookies","E-commerce",44493,5,65,"Medio_Risco"
1281,"Vazamento_API","E-commerce",41946,3,67.6,"Medio_Risco"
1282,"Vazamento_API","E-commerce",49637,7,87.8,"Alto_Risco"
1283,"Vazamento_API","App_Mobile",23205,3,57.5,"Medio_Risco"
1284,"Vazamento_API","E-commerce",41131,10,95.2,"Alto_Risco"
1285,"Falha_Cookies","App_Mobile",49064,6,71.5,"Medio_Risco"
1286,"Ausencia_Termos","App_Mobile",18351,2,29.9,"Baixo_Risco"
1287,"Ausencia_Termos","E-commerce",13878,8,51.5,"Medio_Risco"
1288,"Falha_Cookies","App_Mobile",17779,5,50.6,"Medio_Risco"
1289,"Ausencia_Termos","App_Mobile",915,6,36.4,"Baixo_Risco"
1290,"Falha_Cookies","App_Mobile",11817,6,51.3,"Medio_Risco"
1291,"Vazamento_API","E-commerce",33394,4,67,"Medio_Risco"
1292,"Vazamento_API","App_Mobile",47301,4,74.5,"Alto_Risco"
1293,"Vazamento_API","App_Mobile",34135,4,67.4,"Medio_Risco"
1294,"Ausencia_Termos","Portal_Cliente",26850,1,30.5,"Baixo_Risco"
1295,"Falha_Cookies","App_Mobile",5115,9,59.7,"Medio_Risco"
1296,"Ausencia_Termos","Portal_Cliente",28966,3,39.6,"Medio_Risco"
1297,"Vazamento_API","Portal_Cliente",26538,4,63.3,"Medio_Risco"
1298,"Ausencia_Termos","E-commerce",1286,10,52.6,"Medio_Risco"
1299,"Ausencia_Termos","Portal_Cliente",48493,9,74.2,"Alto_Risco"
1300,"Vazamento_API","E-commerce",12745,8,71.8,"Medio_Risco"
1301,"Vazamento_API","Portal_Cliente",49980,1,64,"Medio_Risco"
1302,"Falha_Cookies","Portal_Cliente",10704,4,42.7,"Baixo_Risco"
1303,"Ausencia_Termos","Portal_Cliente",19131,7,50.3,"Baixo_Risco"
1304,"Vazamento_API","E-commerce",2299,9,70.2,"Medio_Risco"
1305,"Vazamento_API","E-commerce",29570,5,68.9,"Medio_Risco"
1306,"Vazamento_API","E-commerce",47913,5,78.9,"Alto_Risco"
1307,"Ausencia_Termos","App_Mobile",24580,5,45.2,"Medio_Risco"
1308,"Ausencia_Termos","E-commerce",6878,4,31.7,"Baixo_Risco"
1309,"Falha_Cookies","App_Mobile",807,6,45.4,"Medio_Risco"
1310,"Vazamento_API","Portal_Cliente",15194,7,69.2,"Medio_Risco"
1311,"Falha_Cookies","Portal_Cliente",37121,9,77,"Alto_Risco"
1312,"Falha_Cookies","E-commerce",19843,6,55.7,"Medio_Risco"
1313,"Falha_Cookies","E-commerce",48634,6,71.3,"Medio_Risco"
1314,"Vazamento_API","Portal_Cliente",8598,7,65.6,"Medio_Risco"
1315,"Vazamento_API","App_Mobile",4350,9,71.3,"Medio_Risco"
1316,"Vazamento_API","E-commerce",23327,1,49.6,"Medio_Risco"
1317,"Vazamento_API","E-commerce",3823,2,43,"Baixo_Risco"
1318,"Vazamento_API","Portal_Cliente",39567,4,70.4,"Medio_Risco"
1319,"Vazamento_API","App_Mobile",1539,10,73.8,"Alto_Risco"
1320,"Vazamento_API","Portal_Cliente",36107,8,84.5,"Alto_Risco"
1321,"Ausencia_Termos","App_Mobile",41147,6,58.2,"Medio_Risco"
1322,"Ausencia_Termos","E-commerce",49884,4,54.9,"Medio_Risco"
1323,"Falha_Cookies","App_Mobile",2450,4,38.3,"Baixo_Risco"
1324,"Vazamento_API","App_Mobile",39494,6,78.3,"Medio_Risco"
1325,"Falha_Cookies","Portal_Cliente",18121,8,62.8,"Medio_Risco"
1326,"Vazamento_API","E-commerce",13102,2,48,"Medio_Risco"
1327,"Falha_Cookies","Portal_Cliente",31048,4,53.7,"Medio_Risco"
1328,"Vazamento_API","App_Mobile",16179,2,49.7,"Medio_Risco"
1329,"Falha_Cookies","E-commerce",16199,7,57.7,"Medio_Risco"
1330,"Falha_Cookies","Portal_Cliente",13379,9,64.2,"Medio_Risco"
1331,"Vazamento_API","Portal_Cliente",43323,3,68.4,"Medio_Risco"
1332,"Vazamento_API","App_Mobile",21180,3,56.4,"Medio_Risco"
1333,"Falha_Cookies","Portal_Cliente",41420,9,79.4,"Alto_Risco"
1334,"Vazamento_API","E-commerce",47673,3,70.7,"Medio_Risco"
1335,"Ausencia_Termos","Portal_Cliente",27370,4,42.8,"Baixo_Risco"
1336,"Vazamento_API","E-commerce",10333,7,66.5,"Medio_Risco"
1337,"Falha_Cookies","E-commerce",33398,6,63,"Medio_Risco"
1338,"Vazamento_API","E-commerce",46582,4,74.2,"Alto_Risco"
1339,"Falha_Cookies","E-commerce",19693,7,59.6,"Medio_Risco"
1340,"Vazamento_API","App_Mobile",30265,6,73.3,"Alto_Risco"
1341,"Ausencia_Termos","Portal_Cliente",36841,5,51.9,"Medio_Risco"
1342,"Ausencia_Termos","E-commerce",39047,3,45.1,"Medio_Risco"
1343,"Vazamento_API","App_Mobile",15720,8,73.5,"Alto_Risco"
1344,"Ausencia_Termos","E-commerce",43938,5,55.7,"Medio_Risco"
1345,"Vazamento_API","E-commerce",35399,7,80.1,"Alto_Risco"
1346,"Falha_Cookies","E-commerce",29134,4,52.7,"Medio_Risco"
1347,"Vazamento_API","E-commerce",7246,8,68.9,"Medio_Risco"
1348,"Vazamento_API","Portal_Cliente",20510,4,60,"Medio_Risco"
1349,"Vazamento_API","App_Mobile",49372,7,87.7,"Alto_Risco"
1350,"Falha_Cookies","E-commerce",33873,3,51.3,"Medio_Risco"
1351,"Falha_Cookies","App_Mobile",34651,10,79.7,"Alto_Risco"
1352,"Vazamento_API","E-commerce",25076,4,62.5,"Medio_Risco"
1353,"Falha_Cookies","E-commerce",8820,2,33.7,"Baixo_Risco"
1354,"Vazamento_API","Portal_Cliente",1359,9,69.7,"Medio_Risco"
1355,"Ausencia_Termos","Portal_Cliente",46409,2,45.1,"Medio_Risco"
1356,"Falha_Cookies","App_Mobile",31159,10,77.8,"Alto_Risco"
